counter	pd	associated_permutation	knot_type
3390	(1,7,8,7,6,2,8,3,3)	(1,2,9,8,6,3,5,4,7)	a0.1
3391	(1,7,8,7,7,3,5,2,5)	(1,2,9,8,6,4,7,3,5)	a0.1
3392	(1,7,8,7,7,8,2,2,3)	(1,2,9,8,6,4,3,5,7)	a0.1
3393	(1,7,8,8,5,2,8,2,4)	(1,2,9,8,7,3,5,4,6)	a0.1
3394	(1,7,8,8,6,2,6,2,5)	(1,2,9,8,7,4,6,3,5)	p3.1
3395	(2,2,2,2,8,7,7,7,8)	(1,3,5,7,9,8,6,4,2)	a0.1
3396	(2,2,2,4,7,8,7,7,6)	(1,3,5,7,2,9,8,6,4)	a4.1
3397	(2,2,2,6,5,8,7,5,8)	(1,3,5,7,4,9,8,6,2)	p3.1
3398	(2,2,2,6,7,7,8,7,4)	(1,3,5,7,4,2,9,8,6)	a4.1
3399	(2,2,2,8,3,8,5,7,8)	(1,3,5,7,6,9,8,4,2)	a0.1
3400	(2,2,2,8,5,7,8,5,6)	(1,3,5,7,6,2,9,8,4)	p3.1
3401	(2,2,2,8,7,5,8,3,8)	(1,3,5,7,6,4,9,8,2)	a0.1
3402	(2,2,3,3,7,7,8,7,6)	(1,3,5,8,2,9,7,6,4)	a0.1
3403	(2,2,3,5,5,7,8,5,8)	(1,3,5,8,4,9,7,6,2)	a0.1
3404	(2,2,3,5,7,7,7,8,4)	(1,3,5,8,4,2,9,7,6)	a0.1
3405	(2,2,3,7,3,7,6,7,8)	(1,3,5,8,6,9,7,4,2)	m3.1
